alias,normalized_alias,entity_id,ambiguity_count,resolution_status
惡眾生,恶众生,ent_ecabaa396d75,1,unique_alias
恶刹罗,恶刹罗,ent_74555dae6800,1,unique_alias
惡剎羅,恶刹罗,ent_74555dae6800,1,unique_alias
恶叉,恶叉,ent_7ab62ae2d225,1,unique_alias
惡叉,恶叉,ent_7ab62ae2d225,1,unique_alias
恶叉聚,恶叉聚,ent_ba685313737c,1,unique_alias
惡叉聚,恶叉聚,ent_ba685313737c,1,unique_alias
恶取空,恶取空,ent_525c7474e4c1,1,unique_alias
惡取空,恶取空,ent_525c7474e4c1,1,unique_alias
恶名畏,恶名畏,ent_e28f84b39c23,1,unique_alias
惡名畏,恶名畏,ent_e28f84b39c23,1,unique_alias
恶察罗,恶察罗,ent_03d615f635c5,1,unique_alias
惡察羅,恶察罗,ent_03d615f635c5,1,unique_alias
恶察那,恶察那,ent_af1d984fb77b,1,unique_alias
惡察那,恶察那,ent_af1d984fb77b,1,unique_alias
恶师,恶师,ent_4b31b53dec53,1,unique_alias
惡師,恶师,ent_4b31b53dec53,1,unique_alias
恶律仪,恶律仪,ent_b64cc815d874,1,unique_alias
惡律儀,恶律仪,ent_b64cc815d874,1,unique_alias
恶性须菩提,恶性须菩提,ent_45730b56f2b2,1,unique_alias
惡性須菩提,恶性须菩提,ent_45730b56f2b2,1,unique_alias
恶执恶,恶执恶,ent_9c02a1c0bc8f,1,unique_alias
惡執惡,恶执恶,ent_9c02a1c0bc8f,1,unique_alias
恶无过,恶无过,ent_6bdc08aff71d,1,unique_alias
惡無過,恶无过,ent_6bdc08aff71d,1,unique_alias
恶灵,恶灵,ent_39fbd615d9cc,1,unique_alias
惡靈,恶灵,ent_39fbd615d9cc,1,unique_alias
恶生王,恶生王,ent_cdb1001e2f49,1,unique_alias
惡生王,恶生王,ent_cdb1001e2f49,1,unique_alias
恶生王灭释种往昔因缘,恶生王灭释种往昔因缘,ent_c78644eafbce,1,unique_alias
惡生王滅釋種往昔因緣,恶生王灭释种往昔因缘,ent_c78644eafbce,1,unique_alias
恶生王生入地狱,恶生王生入地狱,ent_2071bf67838a,1,unique_alias
惡生王生入地獄,恶生王生入地狱,ent_2071bf67838a,1,unique_alias
恶生王逆害,恶生王逆害,ent_5df7409504f9,1,unique_alias
惡生王逆害,恶生王逆害,ent_5df7409504f9,1,unique_alias
恶癞野干心,恶癞野干心,ent_06b83f784933,1,unique_alias
惡癩野干心,恶癞野干心,ent_06b83f784933,1,unique_alias
恶知识,恶知识,ent_d65cb666c9f5,1,unique_alias
惡知識,恶知识,ent_d65cb666c9f5,1,unique_alias
恶祁尼,恶祁尼,ent_df217fbe2d54,1,unique_alias
惡祁尼,恶祁尼,ent_df217fbe2d54,1,unique_alias
恶见处,恶见处,ent_104eb63e73fc,1,unique_alias
惡見處,恶见处,ent_104eb63e73fc,1,unique_alias
恶触,恶触,ent_79762ae05fba,1,unique_alias
惡觸,恶触,ent_79762ae05fba,1,unique_alias
恶说,恶说,ent_f7cf76156357,1,unique_alias
惡說,恶说,ent_f7cf76156357,1,unique_alias
恶道畏,恶道畏,ent_aa3bbd06bedd,1,unique_alias
惡道畏,恶道畏,ent_aa3bbd06bedd,1,unique_alias
恶道者,恶道者,ent_a8917a48b4a1,1,unique_alias
惡道者,恶道者,ent_a8917a48b4a1,1,unique_alias
恶鬼神,恶鬼神,ent_0992afb4ad7e,1,unique_alias
惡鬼神,恶鬼神,ent_0992afb4ad7e,1,unique_alias
悉他薜罗,悉他薜罗,ent_e78a421c5598,1,unique_alias
悉他薜羅,悉他薜罗,ent_e78a421c5598,1,unique_alias
悉他陛攞尼迦耶,悉他陛攞尼迦耶,ent_58e5a3f4f693,1,unique_alias
悉伽罗,悉伽罗,ent_338346afcffa,1,unique_alias
悉伽羅,悉伽罗,ent_338346afcffa,1,unique_alias
悉地,悉地,ent_a7407627342d,1,unique_alias
悉地宫,悉地宫,ent_eb7d95d5e320,1,unique_alias
悉地宮,悉地宫,ent_eb7d95d5e320,1,unique_alias
悉地持明仙,悉地持明仙,ent_0784ee32f9f0,1,unique_alias
悉地果,悉地果,ent_b96050026711,1,unique_alias
悉地罗窣都,悉地罗窣都,ent_f5aa9c8acca5,1,unique_alias
悉地羅窣都,悉地罗窣都,ent_f5aa9c8acca5,1,unique_alias
悉多頞他,悉多頞他,ent_27e9c0c34287,1,unique_alias
悉怛多般怛罗,悉怛多般怛罗,ent_bbf3dd2b304b,1,unique_alias
悉怛多般怛羅,悉怛多般怛罗,ent_bbf3dd2b304b,1,unique_alias
悉昙五十字门,悉昙五十字门,ent_6285055ea94f,1,unique_alias
悉曇五十字門,悉昙五十字门,ent_6285055ea94f,1,unique_alias
悉昙十二章,悉昙十二章,ent_f7fc8edb8acc,1,unique_alias
悉曇十二章,悉昙十二章,ent_f7fc8edb8acc,1,unique_alias
悉昙十二韵,悉昙十二韵,ent_0abfee0320b8,1,unique_alias
悉曇十二韻,悉昙十二韵,ent_0abfee0320b8,1,unique_alias
悉昙十八章,悉昙十八章,ent_4372518badc8,1,unique_alias
悉曇十八章,悉昙十八章,ent_4372518badc8,1,unique_alias
悉昙四书,悉昙四书,ent_48f64e26d29f,1,unique_alias
悉曇四書,悉昙四书,ent_48f64e26d29f,1,unique_alias
悉昙四十二字门,悉昙四十二字门,ent_1ff9cc636ae9,1,unique_alias
悉曇四十二字門,悉昙四十二字门,ent_1ff9cc636ae9,1,unique_alias
悉昙字数,悉昙字数,ent_dfd9573b1f0f,1,unique_alias
悉曇字數,悉昙字数,ent_dfd9573b1f0f,1,unique_alias
悉昙字记,悉昙字记,ent_f29b76ce4e10,1,unique_alias
悉曇字記,悉昙字记,ent_f29b76ce4e10,1,unique_alias
悉昙章,悉昙章,ent_f47635c877e4,1,unique_alias
悉曇章,悉昙章,ent_f47635c877e4,1,unique_alias
悉昙藏,悉昙藏,ent_189b619fcc81,1,unique_alias
悉曇藏,悉昙藏,ent_189b619fcc81,1,unique_alias
悉替那,悉替那,ent_1633bbc3614a,1,unique_alias
悉皆金色愿,悉皆金色愿,ent_951d475ca377,1,unique_alias
