entity_id,name,entity_type,node_class,mention_count,document_count,in_relation_graph,in_claim_graph,analytics_enabled
ent_0900f7448391,十無二,Concept,StableSemanticEntity,0,0,false,false,false
ent_02ea0ca337d8,十無依止,Concept,StableSemanticEntity,0,0,false,false,false
ent_4773af778671,十無依行,Concept,StableSemanticEntity,0,0,false,false,false
ent_4a43ea405bb8,十無盡句,Concept,StableSemanticEntity,0,0,false,false,false
ent_ac60c772f7e0,十無盡戒,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_277ae882e5f3,十無盡藏,Classic,StableSemanticEntity,6,4,false,false,false
ent_c48998565b23,十無礙,Concept,StableSemanticEntity,0,0,false,false,false
ent_7f8bc4ea1c7f,十日十夜,Concept,StableSemanticEntity,0,0,false,false,false
ent_0028aec8927b,十普門,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_800331d79ab9,十智同真,Concept,StableSemanticEntity,0,0,false,false,false
ent_eabb9f4d2a46,十智如來,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_864805f9f304,十來偈,Classic,StableSemanticEntity,0,0,true,false,false
ent_d1e779c74c7b,十根本煩惱,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_bd2f70145b44,十夢,Concept,StableSemanticEntity,0,0,false,false,false
ent_c3b5536cd563,十夢經,Classic,StableSemanticEntity,0,0,false,false,false
ent_eaaa18c17a07,十殊勝語,Concept,StableSemanticEntity,0,0,false,false,false
ent_11beebb0dffd,十殿閻王,Concept,StableSemanticEntity,7,5,false,false,false
ent_13531ef4534b,十法乘成觀,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_ef04744dcfa5,十法界,PlaceRealm,StableSemanticEntity,0,0,true,false,false
ent_b6faf0c17b35,十法界明因果鈔,Classic,StableSemanticEntity,0,0,false,false,false
ent_962b05fe4948,十法界鈔,Classic,StableSemanticEntity,0,0,false,false,false
ent_ba7b1a0a0ea8,十法經,Classic,StableSemanticEntity,0,0,false,false,false
ent_4b4d6a854a2a,十法行,PracticeActivity,StableSemanticEntity,30,25,true,false,true
ent_ec42286e90ec,十波羅夷,Concept,StableSemanticEntity,0,0,false,false,false
ent_b70302a6f1c2,十波羅蜜,DoctrineTerm,StableSemanticEntity,39,20,false,false,false
ent_f09dc10000b2,十波羅蜜菩薩,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_9f36e44aa61b,十煩惱,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_cc1c80f7c05e,十牛圖序,Concept,StableSemanticEntity,0,0,false,false,false
ent_2574767dd31f,十玄六相,DoctrineTerm,StableSemanticEntity,4,4,false,false,false
ent_b5ea7fdae380,十玄緣起,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_ad4bac472853,十玄談,Concept,StableSemanticEntity,2,2,false,false,false
ent_9f0ae9ad1ced,十玄門,DoctrineTerm,StableSemanticEntity,45,21,true,false,false
ent_2a16ca11eaee,十王,BuddhistFigure,StableSemanticEntity,2,2,false,false,false
ent_dfcc415ce1f3,十王華報,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_4818cbe3895b,十王經,Classic,StableSemanticEntity,0,0,false,false,false
ent_8faa6ebf9724,十甘露明,Concept,StableSemanticEntity,0,0,false,false,false
ent_5188741235a7,十甘露王,Concept,StableSemanticEntity,0,0,false,false,false
ent_d4ec8e86ed99,十甚深,Concept,StableSemanticEntity,0,0,false,false,false
ent_abbfd51e706c,十界一心平等大念,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_5960f8cfa1de,十界一念,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_807389f2959e,十界互具,Concept,StableSemanticEntity,15,3,false,false,false
ent_5010e7af74b8,十界十如三千世間,Concept,StableSemanticEntity,0,0,false,false,false
ent_a9c1a68f17f9,十界大曼荼羅,RitualObject,StableSemanticEntity,0,0,false,false,false
ent_ba8e18a16de5,十界曼荼羅,RitualObject,StableSemanticEntity,0,0,false,false,false
ent_f2358fb04ad3,十界權實,Concept,StableSemanticEntity,0,0,false,false,false
ent_dff66e49478d,十界皆成佛,Concept,StableSemanticEntity,1,1,false,false,false
ent_a55daea7f831,十界能化菩薩,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_ac8eb7a1c5bf,十疑論,Classic,StableSemanticEntity,0,0,false,false,false
ent_54a59ec76465,十真如,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_1df12c4b34f2,十眼,Concept,StableSemanticEntity,0,0,false,false,false
ent_0a21b20979de,十神力,Concept,StableSemanticEntity,0,0,false,false,false
ent_32250c40c10b,十神力無礙用,Concept,StableSemanticEntity,0,0,false,false,false
ent_e4d18d9ecfd3,十禪,DoctrineTerm,StableSemanticEntity,1,1,false,false,false
ent_efef2b812e9d,十禪支,Concept,StableSemanticEntity,0,0,false,false,false
ent_323a79d60a67,十種三世,Concept,StableSemanticEntity,0,0,false,false,false
ent_28a471348133,十種三法,DoctrineTerm,StableSemanticEntity,1,1,false,false,false
ent_19c99ad79e4b,十種不淨,Concept,StableSemanticEntity,2,1,false,false,false
ent_17f2bcfccfcb,十種仙,Concept,StableSemanticEntity,1,1,false,false,false
ent_600e3dc4ec1e,十種眾生,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_a6bb0108db72,十種佛,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_428f74b60fc9,十種供養,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_ca21de56af13,十種依果,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_00af56793c8a,十種信,Concept,StableSemanticEntity,0,0,false,false,false
ent_bd1647b9023a,十種利益,Concept,StableSemanticEntity,24,20,false,false,false
ent_e1230bd3ba3b,十種發心,PracticeActivity,StableSemanticEntity,3,1,false,false,false
ent_a9c5c316fb2f,十種善巧智,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_48eadf18a398,十種善知識,DoctrineTerm,StableSemanticEntity,2,1,false,false,false
ent_8b465e999f2e,十種迴向,Concept,StableSemanticEntity,0,0,false,false,false
ent_1878061a6d63,十種因,DoctrineTerm,StableSemanticEntity,14,12,false,false,false
ent_16fda8c2b08c,十種廣大智,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_bd4e6669448e,十種念處,Concept,StableSemanticEntity,0,0,false,false,false
ent_2376e2d89d98,十種戒,DoctrineTerm,StableSemanticEntity,4,4,false,false,false
ent_986144e4b5dc,十種所觀法,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_0a3259d4858c,十種教體,Concept,StableSemanticEntity,0,0,false,false,false
ent_e3cb84184fc3,十種方便,Concept,StableSemanticEntity,2,2,false,false,false
ent_d51dd861408a,十種方便學處,Concept,StableSemanticEntity,0,0,false,false,false
ent_6a28d15e1da1,十種方便戒,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_08832f969c1f,十種智,DoctrineTerm,StableSemanticEntity,1,1,false,false,false
ent_7227e24abb93,十種智力,DoctrineTerm,StableSemanticEntity,3,3,false,false,false
ent_4d4506ae89f9,十種智明,Concept,StableSemanticEntity,0,0,false,false,false
ent_7d0b47e569b3,十種有依行輪,Concept,StableSemanticEntity,0,0,false,false,false
ent_c3fd8a54fe04,十種夢,Concept,StableSemanticEntity,1,1,false,false,false
ent_4983e7456e4a,十種法師,Person,StableSemanticEntity,0,0,false,false,false
ent_1f8c1b7357d7,十種法行,PracticeActivity,StableSemanticEntity,1,1,false,false,false
ent_ff132da974dc,十種演說,Concept,StableSemanticEntity,0,0,false,false,false
ent_fdb2af085025,十種現益,Concept,StableSemanticEntity,0,0,false,false,false
ent_e0fcbd3096e0,十種神力,Concept,StableSemanticEntity,0,0,false,false,false
ent_79bdab414b69,十種神通,DoctrineTerm,StableSemanticEntity,1,1,false,false,false
ent_eb5875326c46,十種空相回向心,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_97b614801ade,十種自在,Concept,StableSemanticEntity,3,3,false,false,false
ent_612c4ace03da,十種行願,DoctrineTerm,StableSemanticEntity,1,1,false,false,false
ent_34ccad07a966,十種見佛,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_a4e042030ad5,十種觀法,DoctrineTerm,StableSemanticEntity,7,4,false,false,false
ent_b0b5cf663018,十種鬼,Concept,StableSemanticEntity,0,0,false,false,false
ent_9c488e82babe,十種魔軍,Concept,StableSemanticEntity,1,1,false,false,false
ent_81da3102c78c,十秘密,Concept,StableSemanticEntity,0,0,false,false,false
ent_c98b6fdc352e,十類經,Classic,StableSemanticEntity,0,0,false,false,false
ent_7755502bfff1,十緣生句,Concept,StableSemanticEntity,3,1,false,false,false
ent_108d5b46f26d,十緣生觀,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_fdecfbb2e231,十羅剎女,BuddhistFigure,StableSemanticEntity,5,3,false,false,false
ent_d59dade3c682,十羅剎女神本地,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_bd367847390c,十勝行,Concept,StableSemanticEntity,0,0,false,false,false
ent_01702e14c6ab,十苦,Concept,StableSemanticEntity,0,0,false,false,false
ent_7313a17dec31,十蓮華藏世界,PlaceRealm,StableSemanticEntity,0,0,false,false,false
ent_723e6781016e,十藏,Classic,StableSemanticEntity,7,3,false,false,false
ent_a31a672a0355,十慮,Concept,StableSemanticEntity,0,0,false,false,false
ent_da3bef6442c9,十見,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_ae26810e7d86,十講,PracticeActivity,StableSemanticEntity,29,24,false,false,false
ent_7276b7554ab9,十論匠,Concept,StableSemanticEntity,0,0,false,false,false
ent_6cc0c9d1bb93,十識,Concept,StableSemanticEntity,0,0,false,false,false
ent_2974921aa1bf,十誠證,Concept,StableSemanticEntity,0,0,false,false,false
ent_4a183c0a9d0e,十說三世,Concept,StableSemanticEntity,0,0,false,false,false
ent_c835ac784c49,十誦僧尼要事羯磨,Concept,StableSemanticEntity,0,0,false,false,false
ent_cfaab7e02fd6,十誦律,Classic,StableSemanticEntity,0,0,false,false,false
ent_d2ad05191fdf,十誦律比丘尼大戒,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_1cd41d9f194b,十誦律比丘尼戒本,Concept,StableSemanticEntity,0,0,false,false,false
ent_fdd378bd3adb,十誦律比丘尼波羅提木叉戒本,Concept,StableSemanticEntity,0,0,false,false,false
ent_7488a8f20a67,十誦律比丘戒本,Concept,StableSemanticEntity,0,0,false,false,false
ent_5bb3eae975ad,十誦律比丘波羅提木叉戒本,Concept,StableSemanticEntity,0,0,false,false,false
ent_607bc7e4eba9,十誦律毘尼序,Concept,StableSemanticEntity,0,0,false,false,false
ent_fb558cd00d2a,十誦比丘要用,Concept,StableSemanticEntity,0,0,false,false,false
ent_16755905e521,十誦羯磨比丘要用,Concept,StableSemanticEntity,0,0,false,false,false
ent_407a3f6c4b6a,十諦,Concept,StableSemanticEntity,0,0,false,false,false
ent_8dab5caa0fb7,十身藥樹,Concept,StableSemanticEntity,0,0,false,false,false
ent_f3c669f89ebd,十輪,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_29aeb7b56d8d,十輪經,Classic,StableSemanticEntity,0,0,false,false,false
ent_5fd865a24e17,十進九退,Concept,StableSemanticEntity,0,0,false,false,false
ent_3a5ea47d73d9,十遍處定,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_278f091099fd,十重戒,DoctrineTerm,StableSemanticEntity,15,10,false,false,false
ent_6d55abafcfe6,十重顯本,Concept,StableSemanticEntity,0,0,false,false,false
ent_6def14afe5b5,十重深行,Concept,StableSemanticEntity,0,0,false,false,false
ent_d66bcb1862ef,十重禁戒,DoctrineTerm,StableSemanticEntity,2,2,false,false,false
ent_c7a168790b22,十重罪,Concept,StableSemanticEntity,0,0,false,false,false
ent_0779b04dcc1f,十重障,Concept,StableSemanticEntity,2,2,false,false,false
ent_38047ab44822,十金剛心,DoctrineTerm,StableSemanticEntity,2,1,false,false,false
ent_e24204af4dd7,十金剛心向果,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_d8d1d0a5a3c8,十長養心,DoctrineTerm,StableSemanticEntity,2,1,false,false,false
ent_6b70d4896ab3,十門辨惑論,Classic,StableSemanticEntity,0,0,false,false,false
ent_ec7136354397,十問舉疑,Concept,StableSemanticEntity,0,0,false,false,false
ent_c5125111c615,十問訊,Concept,StableSemanticEntity,7,6,false,false,false
