view_id,view_label,relation_count,node_count,directed_pair_count,undirected_pair_count,self_loop_count,component_count,largest_component_nodes,largest_component_share,density,mean_degree,reciprocity,transitivity,average_clustering,degree_assortativity,community_count,modularity,max_core_number,estimated_diameter,estimated_mean_shortest_path
thought_doctrine,思想义理,1075,668,1016,963,0,63,532,0.7964071856287425,0.0043226889549237354,2.8832335329341316,0.10433070866141732,0.0654281098546042,0.041495111509546226,-0.024094294759069077,85,0.6716141538127565,5,10,4.445258003766479
classic_text,经典解释,101,113,101,98,0,17,76,0.672566371681416,0.015486725663716814,1.7345132743362832,0.0594059405940594,0.0,0.0,-0.1676914514842059,26,0.7827321163420385,2,12,4.9880701754385965
practice,实践路径,371,287,365,361,0,23,241,0.8397212543554007,0.008796081966813675,2.515679442508711,0.021917808219178082,0.017816354499771585,0.015146303049179665,-0.2211946850395506,35,0.70493144861303,3,11,4.349965421853389
propagation_organization,机构传播,1107,1063,1068,1061,0,193,622,0.5851364063969896,0.0018796959179949438,1.9962370649106302,0.013108614232209739,0.024799537075307927,0.02417485212482544,-0.12279852243586926,210,0.7930452131837747,4,15,4.876953301127214
other_domain,其他领域,91,116,91,90,0,27,25,0.21551724137931033,0.013493253373313344,1.5517241379310345,0.02197802197802198,0.0,0.0,-0.15983181346584394,29,0.8823988942972177,2,6,3.1533333333333333
