entity_id,name,entity_type,mention_count,document_count,out_degree,in_degree,degree,relation_count,weighted_degree,evidence_count,pagerank,betweenness,harmonic_centrality,core_number,community_id,community_size,participation_coefficient,relation_family_count,view_count,views,neighbor_type_entropy,relation_rate,pagerank_percentile,betweenness_percentile,participation_percentile,bridge_score,degree_rank,pagerank_rank,betweenness_rank,bridge_rank
ent_e3a729bda8e9,慧懃禪師,BuddhistFigure,38,16,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,222,2,0.0,1,1,propagation_organization,0.0,2.6315789473684212,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_7e96c145b8f2,慧淨,Person,32,30,1,0,1,1,1,1,0.000286815404370145,0.0,277.73650793650506,1,4,150,0.0,1,1,practice,0.0,3.125,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_ffd6587d1dc8,佛教禮儀,Concept,12,9,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,104,2,0.0,1,1,thought_doctrine,0.0,8.333333333333334,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_3c89496baf8d,茂林和尚,BuddhistFigure,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,224,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_0f1fc53dbba0,大佛寺,Institution,66,42,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,225,2,0.0,1,1,propagation_organization,0.0,1.5151515151515151,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_5420a4b05a78,慧施,BuddhistFigure,17,13,1,0,1,1,1,1,0.000286815404370145,0.0,300.96269841269634,1,2,153,0.0,1,1,practice,0.0,5.882352941176471,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_dd95a38794b3,花東地區各佛光分會,Group,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,283.5123015872991,1,4,150,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_e2c8bed67cc8,匡道慧潭禪師,BuddhistFigure,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,230,2,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_2582bd52b17e,佛香精舍,Institution,92,55,1,0,1,1,1,1,0.000286815404370145,0.0,373.5357142857113,1,1,235,0.0,1,1,propagation_organization,0.0,1.0869565217391304,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_e8821b31154a,契嵩,BuddhistFigure,71,33,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,234,2,0.0,1,1,propagation_organization,0.0,1.408450704225352,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_91b69ba91b99,月光寺,Institution,24,17,1,0,1,1,1,1,0.000286815404370145,0.0,196.5374458874437,1,18,9,0.0,1,1,propagation_organization,0.0,4.166666666666667,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_41168e72cf01,大陽和尚,BuddhistFigure,8,1,1,0,1,1,1,1,0.000286815404370145,0.0,223.57943722943372,1,14,15,0.0,1,1,propagation_organization,0.0,12.5,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_f201a2abcf65,智賢禪師,BuddhistFigure,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,237,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_16cc50236852,中華佛光協會鳥松分會,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,283.5123015872991,1,4,150,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_5b8f1af4387c,義懷禪師,BuddhistFigure,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,240,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_9d9256339f4e,北條時賴,Person,4,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,181,2,0.0,1,1,propagation_organization,0.0,25.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_d317550b21df,南非南華寺,Institution,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,241.56316738816366,1,4,150,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_a01886b79882,慈覺大師,BuddhistFigure,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,180.93697691197565,1,8,58,0.0,1,1,practice,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_00bbd22322a5,中華佛光協會岡山分會,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,283.51230158729913,1,4,150,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_7da911bb57b1,大華嚴寺,Institution,14,8,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,231,2,0.0,1,1,propagation_organization,0.0,7.142857142857143,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_44b6b6a31c36,佛光會樹林分會,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,283.5123015872991,1,4,150,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_74c9507031f4,人间音缘,PracticeActivity,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,268.95912698412326,1,4,150,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_de44e91e1f81,德國柏林佛光山,Institution,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,226,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_fe610389b4ce,佛光三昧修持法,PracticeActivity,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,282.6567460317437,1,1,235,0.0,1,1,practice,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_6d625f24f239,證光法師,BuddhistFigure,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,180,2,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_c2d7fe689d7c,宋太宗,Person,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,229.93095238094858,1,7,59,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_ccffda86b408,中华佛光协会新营分会,Institution,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.5,1,65,3,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_5908581d64e2,法忠法師,BuddhistFigure,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,242,2,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_2cac370d08ca,大仙寺,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,258.10595238094845,1,33,4,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_85cbf0f0aa08,蘇州崑劇院,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,216,2,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_3f66aecf07f4,稱念佛光四句偈,PracticeActivity,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,348.11666666666457,1,1,235,0.0,1,1,practice,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_afac8238116b,龍智,BuddhistFigure,33,9,1,0,1,1,1,1,0.000286815404370145,0.0,242.24642857142467,1,1,235,0.0,1,1,practice,0.0,3.0303030303030303,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_082bbec035a3,百丈禪師,BuddhistFigure,0,0,1,0,1,1,1,2,0.000286815404370145,0.0,250.6619047619006,1,6,77,0.0,1,1,practice,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_6cc22d86d1a4,阿努達法師,BuddhistFigure,3,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,236,2,0.0,1,1,propagation_organization,0.0,33.333333333333336,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_0f66abe67155,水庵師一禪師,BuddhistFigure,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,235,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_17fe60a824bd,普明,Person,50,29,1,0,1,1,1,1,0.000286815404370145,0.0,172.9665223665214,1,8,58,0.0,1,1,propagation_organization,0.0,2.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_768d139e349a,北港禪淨中心,Institution,0,0,1,0,1,1,1,2,0.000286815404370145,0.0,275.4984126984098,1,4,150,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
